Date,Channel,Retailer,Retailor,SKU, Unit Sold ,Rev,Category,Sub_Category
8/1/2026,Online,Naver,naver,FA050KRWH,1,108091,Shark Fan,Fan
8/1/2026,Online,Naver,naver,BR201KR,1,181727,Ninja Motorized,Trad
8/1/2026,Online,Naver,naver,CI1000KR,1,126273,Ninja Motorized,Hand
8/1/2026,Online,Naver,naver,FA200KRWH,1,163545,Shark Fan,Fan
8/1/2026,Online,Naver,naver,FN100KRGY1,1,218091,Ninja Heated,Crispi
8/1/2026,Online,Naver,naver,BN800KR,1,245364,Ninja Motorized,Kitchen
8/1/2026,Online,Naver,naver,FA200KRWH,1,162636,Shark Fan,Fan
8/1/2026,Online,Naver,naver,FN100KRGY1,1,218091,Ninja Heated,Crispi
8/1/2026,Online,Naver,naver,FA200KRWH,1,162636,Shark Fan,Fan
8/1/2026,Online,Naver,naver,BC251KRIV,1,108091,Ninja Motorized,Portable
8/1/2026,Online,Naver,naver,BC251KRLD,1,108091,Ninja Motorized,Portable
8/1/2026,Online,Naver,naver,FN100KRSD1,1,218091,Ninja Heated,Crispi
8/1/2026,Online,Naver,naver,FA200KRWH,1,162636,Shark Fan,Fan
8/1/2026,Online,Naver,naver,BC251KRSL,1,109000,Ninja Motorized,Portable
8/1/2026,Online,Naver,naver,CB350KR,1,181727,Ninja Motorized,Trad
8/1/2026,Online,Naver,naver,FA050KR,1,109000,Shark Fan,Fan
8/1/2026,Online,Naver,naver,FA050KRWH,1,108091,Shark Fan,Fan
8/1/2026,Online,Naver,naver,FA050KRWH,1,108091,Shark Fan,Fan
8/1/2026,Online,Naver,naver,DB351KRGN,1,218091,Ninja Motorized,Portable
8/1/2026,Online,Naver,naver,FA050KR,2,148927,Shark Fan,Fan
8/1/2026,Online,Naver,naver,FN100KRWH,1,227182,Ninja Heated,Crispi
8/1/2026,Online,Naver,naver,BC251KRGY,1,108091,Ninja Motorized,Portable
8/1/2026,Online,Naver,naver,BR201KR,1,181727,Ninja Motorized,Trad
8/1/2026,Online,Naver,naver,BC251KRIV,1,108091,Ninja Motorized,Portable
8/1/2026,Online,Naver,naver,FA200KRBK,1,162636,Shark Fan,Fan
8/1/2026,Online,Naver,naver,FA050KR,2,156200,Shark Fan,Fan
8/1/2026,Online,Naver,naver,FA050KR,1,108091,Shark Fan,Fan
8/1/2026,Online,Naver,naver,BC251KRGY,1,108091,Ninja Motorized,Portable
8/1/2026,Online,Naver,naver,FA200KRWH,1,163545,Shark Fan,Fan
8/1/2026,Online,Naver,naver,FA050KR,1,109000,Shark Fan,Fan
8/1/2026,Online,Naver,naver,CS851KRMVAE,1,717273,Shark Floorcare,CS
8/1/2026,Online,Naver,naver,FA050KRWH,2,148927,Shark Fan,Fan
8/1/2026,Online,Naver,naver,FN100KRWH,1,218091,Ninja Heated,Crispi
8/1/2026,Online,Naver,naver,NJ1001KR,1,71727,Ninja Motorized,Food process
8/1/2026,Online,Naver,naver,FN100KRWH,1,218091,Ninja Heated,Crispi
8/1/2026,Online,Naver,naver,BC251KRIV,1,108091,Ninja Motorized,Portable
8/1/2026,Online,Naver,naver,NC300KR,1,235455,Ninja Motorized,Icecream
8/1/2026,Online,Naver,naver,BC251KRNV,1,109000,Ninja Motorized,Portable
8/1/2026,Online,Naver,naver,FA200KRBK,1,163545,Shark Fan,Fan
8/1/2026,Online,Naver,naver,WV270KR,1,181727,Shark Floorcare,WV
8/1/2026,Online,Naver,naver,BC251KRMT,1,108091,Ninja Motorized,Portable
8/1/2026,Online,Naver,naver,BN300KR,1,104455,Ninja Motorized,Trad
8/1/2026,Online,Naver,naver,TB401KR,1,289909,Ninja Motorized,Kitchen
8/1/2026,Online,Naver,naver,FA050KR,1,108091,Shark Fan,Fan
8/1/2026,Online,Naver,naver,TF200SKRWH,1,354455,Shark Fan,Fan
8/1/2026,Online,Naver,naver,FA200KRWH,1,162636,Shark Fan,Fan
8/1/2026,Online,Naver,naver,FA200KRWH,1,162636,Shark Fan,Fan
8/1/2026,Online,Naver,naver,BC251KRMT,1,109000,Ninja Motorized,Portable
