Date,Channel,Retailer,Retailor,SKU, Unit Sold ,Rev,Category,Sub_Category
7/1/2026,TVHS,TVHS,롯데홈쇼핑(우리홈쇼핑) _ TVHS,LC150KRBL,1,590000,Shark Floorcare,FW
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKR,1,272636,Shark Fan,Fan
7/1/2026,TVHS,PP,현대홈쇼핑 _ PP,GWPKR0008,1,90000,ETC,ETC
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKR,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKR,1,272636,Shark Fan,Fan
7/1/2026,TVHS,PP,롯데홈쇼핑(우리홈쇼핑) _ PP,LC150KRBL,1,535455,Shark Floorcare,FW
7/1/2026,TVHS,PP,롯데홈쇼핑(우리홈쇼핑) _ PP,LC150KRBL,1,544545,Shark Floorcare,FW
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKR,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
7/1/2026,TVHS,TVHS,(주)지에스홈쇼핑 _ TVHS,BC251KRGY,1,109000,Ninja Motorized,Portable
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,PP,(주)지에스홈쇼핑 _ PP,LC751KRLV,1,741864,Shark Floorcare,FW
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRGY,1,136273,Ninja Motorized,Portable
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,PP,(주)지에스홈쇼핑 _ PP,NJ1001KR,1,64177,Ninja Motorized,Food process
7/1/2026,TVHS,PP,현대홈쇼핑 _ PP,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,BC251KRMT,1,136273,Ninja Motorized,Portable
7/1/2026,TVHS,TVHS,현대홈쇼핑 _ TVHS,TF200SKRWH,1,272636,Shark Fan,Fan
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Costco,Cosmo_Costco Korea,CS150KRAE,1,311945,Shark Floorcare,CS
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,BC251KRIV,1,136273,Ninja Motorized,Portable
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,FA200KRWH,1,227182,Shark Fan,Fan
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,BC251KRIV,1,136273,Ninja Motorized,Portable
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Costco,Cosmo_Costco Korea,WV250KR2,1,103200,Shark Floorcare,WV
7/1/2026,Offline,Costco,Cosmo_Costco Korea,CS150KRAE,1,311945,Shark Floorcare,CS
7/1/2026,Offline,Dept Store,Cosmo_Hyundai dept,TB201KR,1,227182,Ninja Motorized,Trad
7/1/2026,Offline,Costco,Cosmo_Costco Korea,CS150KRAE,1,311945,Shark Floorcare,CS
7/1/2026,Offline,Dept Store,Cosmo_Lotte dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Dept Store,Cosmo_Lotte dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Dept Store,Cosmo_Hyundai dept,BC251KRIV,1,136273,Ninja Motorized,Portable
7/1/2026,Offline,Costco,Cosmo_Costco Korea,CS150KRAE,1,311945,Shark Floorcare,CS
7/1/2026,Offline,Dept Store,Cosmo_Lotte dept,TB201KR,1,227182,Ninja Motorized,Trad
7/1/2026,Offline,B2B,Cosmo_ESP Marketing_B2B,FA221KR,1,171755,Shark Fan,Fan
7/1/2026,Offline,Dept Store,Cosmo_Lotte dept,BC251KRNV,1,136273,Ninja Motorized,Portable
7/1/2026,Offline,Dept Store,Cosmo_Hyundai dept,BC251KRNV,1,136273,Ninja Motorized,Portable
7/1/2026,Offline,Dept Store,Cosmo_Hyundai dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Costco,Cosmo_Costco Korea,CS150KRAE,1,311945,Shark Floorcare,CS
7/1/2026,Offline,B2B,Cosmo_ESP Marketing_B2B,FA221KR,1,171755,Shark Fan,Fan
7/1/2026,Offline,Dept Store,Cosmo_Lotte dept,BC251KRNV,1,136273,Ninja Motorized,Portable
7/1/2026,Offline,Dept Store,Cosmo_Hyundai dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Dept Store,Cosmo_Lotte dept,BC251KRIV,1,136273,Ninja Motorized,Portable
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,BC251KRIV,1,136273,Ninja Motorized,Portable
7/1/2026,Offline,Dept Store,Cosmo_Lotte dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,FA221KR,1,272636,Shark Fan,Fan
7/1/2026,Offline,Costco,Cosmo_Costco Korea,CS150KRAE,1,311945,Shark Floorcare,CS
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,FA221KR,1,272636,Shark Fan,Fan
7/1/2026,Offline,Dept Store,Cosmo_Lotte dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Dept Store,Cosmo_Galleria dept,S8201KR,1,272636,Shark Floorcare,WD
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Dept Store,Cosmo_Lotte dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,FA221KR,1,272636,Shark Fan,Fan
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,FA050KRWH,1,199909,Shark Fan,Fan
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,BC251KRNV,1,136273,Ninja Motorized,Portable
7/1/2026,Offline,Dept Store,Cosmo_Hyundai dept,BC251KRNV,1,136273,Ninja Motorized,Portable
7/1/2026,Offline,Dept Store,Cosmo_Lotte dept,BC251KRIV,1,136273,Ninja Motorized,Portable
7/1/2026,Offline,Dept Store,Cosmo_Lotte dept,FA200KRWH,1,227182,Shark Fan,Fan
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,TB401KR,1,318091,Ninja Motorized,Kitchen
7/1/2026,Offline,Dept Store,Cosmo_SSG dept,FA221KR,1,272636,Shark Fan,Fan
7/1/2026,Offline,Dept Store,Cosmo_Hyundai dept,LC751KRLV,1,817273,Shark Floorcare,FW
7/1/2026,Offline,B2B,Cosmo_ESP Marketing_B2B,FA221KR,1,171755,Shark Fan,Fan
